6	214.05
6	153.57
6	66.08
6	493.51
6	235.63
6	247.18
6	379.6
6	296.8
6	25.38
6	213.88
6	53.26
6	39.75
6	469.63
6	290.82
6	260.65
0	136.9
6	483.82
6	215.82
6	418.94
6	309.16
6	93.39
6	376.11
6	252.88
6	205.06
6	88.25
6	31.08
6	370.55
6	170.2
6	16.78
6	327.75
6	108.69
6	15.41
6	80.46
6	298.86
6	475.26
6	3.85
6	287.65
6	466.64
6	255.68
6	6.38
6	117.81
6	351.31
6	222.61
6	22.36
6	189.01
6	414.08
6	182.05
6	345.18
6	135.96
6	344.09
6	33.13
6	18.27
6	140.94
6	157.48
6	350.55
6	196.83
6	425.79
6	472.71
6	359.29
6	131.97
6	134.33
6	302.69
6	254.62
6	130.54
6	153.84
6	2
6	100.38
6	460.38
6	107.94
6	157.08
6	243.05
6	46.99
6	9.47
6	16.15
6	271.56
6	387.75
6	367.76
6	297.43
6	392.81
6	11.96
6	20.07
6	299.55
6	440.11
6	127.8
6	390.2
6	440.7
6	294.98
6	418.91
6	359.65
6	371.21
6	368.42
6	480.24
6	125.35
6	242.31
6	278.61
6	152.9
6	452.07
6	59.08
6	155.33
6	332.48
